ID,x,variable,value
run1_Injected_SP8_updated2,1,ampliCan,-6.73076923076923
run1_Injected_cartb,2,ampliCan,-10.4625550660793
run1_Injected_eomesb,3,ampliCan,-14.5080946450809
run5_Injected_NCorf4_Cingulinintronic,4,ampliCan,-14.7302087435998
run7_atp1a1_1_e4_1_inj,5,ampliCan,-21.3934426229508
run8_atp1a1_1_e4_1_inj,6,ampliCan,-28.9617486338798
run5_Injected_NC7_cyranoC2_sg76+77_1,7,ampliCan,-32.3626737260093
run6_insert_ctgfa_my96ds_3,8,ampliCan,-33.3333333333333
run9_my96ss,9,ampliCan,-33.4986055159591
run10_7879_2,10,ampliCan,-38.0645161290323
run6_elovl6_e1_1_2_7071_inj,11,ampliCan,-44
run1_Injected_fgf13b,12,ampliCan,-47.0175438596491
run5_Injected_NC24_mboatSall3,13,ampliCan,-49.8888065233506
run9_GFPnoSTOP,14,ampliCan,-57.4272133095663
run9_invit96ss,15,ampliCan,-60.5587170201759
run9_213ss,16,ampliCan,-65.0908530951648
run9_213ds,17,ampliCan,-68.4871388516396
run9_GFPnoSTOP_gRNA_,18,ampliCan,-68.6281217926787
run7_SP1_inj,19,ampliCan,-79.7387084733109
run7_elovl6_e1_1_2_inj,20,ampliCan,-81.5217391304348
run1_Injected_SP8_updated2,1,CRISPRessoPooled,-13.8130951793556
run1_Injected_cartb,2,CRISPRessoPooled,-6.67844236121245
run1_Injected_eomesb,3,CRISPRessoPooled,-21.0193252181495
run5_Injected_NCorf4_Cingulinintronic,4,CRISPRessoPooled,-17.05395825128
run7_atp1a1_1_e4_1_inj,5,CRISPRessoPooled,-25.8276241742109
run8_atp1a1_1_e4_1_inj,6,CRISPRessoPooled,-22.997538108924
run5_Injected_NC7_cyranoC2_sg76+77_1,7,CRISPRessoPooled,-0.606020207599038
run6_insert_ctgfa_my96ds_3,8,CRISPRessoPooled,-66.6666666666667
run9_my96ss,9,CRISPRessoPooled,-68.577626278277
run10_7879_2,10,CRISPRessoPooled,-6.2039819064285
run6_elovl6_e1_1_2_7071_inj,11,CRISPRessoPooled,-100
run1_Injected_fgf13b,12,CRISPRessoPooled,-100
run5_Injected_NC24_mboatSall3,13,CRISPRessoPooled,-53.1504818383988
run9_GFPnoSTOP,14,CRISPRessoPooled,-80.9269162210339
run9_invit96ss,15,CRISPRessoPooled,-91.0294878427315
run9_213ss,16,CRISPRessoPooled,-89.0206344317832
run9_213ds,17,CRISPRessoPooled,-98.049494087529
run9_GFPnoSTOP_gRNA_,18,CRISPRessoPooled,-86.6062264796442
run7_SP1_inj,19,CRISPRessoPooled,-100
run7_elovl6_e1_1_2_inj,20,CRISPRessoPooled,-100
run1_Injected_SP8_updated2,1,AmpliconDIVider,-15.0950963846154
run1_Injected_cartb,2,AmpliconDIVider,-17.2987008810573
run1_Injected_eomesb,3,AmpliconDIVider,-14.5440753424658
run5_Injected_NCorf4_Cingulinintronic,4,AmpliconDIVider,-11.17160825128
run7_atp1a1_1_e4_1_inj,5,AmpliconDIVider,-12.4174032786885
run8_atp1a1_1_e4_1_inj,6,AmpliconDIVider,-5.14078713363141
run5_Injected_NC7_cyranoC2_sg76+77_1,7,AmpliconDIVider,-0.961583189940434
run6_insert_ctgfa_my96ds_3,8,AmpliconDIVider,-66.6666666666667
run9_my96ss,9,AmpliconDIVider,-35.244326278277
run10_7879_2,10,AmpliconDIVider,-5.39234516129032
run6_elovl6_e1_1_2_7071_inj,11,AmpliconDIVider,-100
run1_Injected_fgf13b,12,AmpliconDIVider,-100
run5_Injected_NC24_mboatSall3,13,AmpliconDIVider,-31.6815818383988
run9_GFPnoSTOP,14,AmpliconDIVider,-43.2551162210339
run9_invit96ss,15,AmpliconDIVider,-65.3354878427315
run9_213ss,16,AmpliconDIVider,-44.5029344317832
run9_213ds,17,AmpliconDIVider,-32.445494087529
run9_GFPnoSTOP_gRNA_,18,AmpliconDIVider,-82.9025264796442
run7_SP1_inj,19,AmpliconDIVider,-100
run7_elovl6_e1_1_2_inj,20,AmpliconDIVider,-100
run1_Injected_SP8_updated2,1,CRISPResso,16.8345351557214
run1_Injected_cartb,2,CRISPResso,-92.6352907893142
run1_Injected_eomesb,3,CRISPResso,-33.6265753424658
run5_Injected_NCorf4_Cingulinintronic,4,CRISPResso,2.51909414683474
run7_atp1a1_1_e4_1_inj,5,CRISPResso,-56.0282839653838
run8_atp1a1_1_e4_1_inj,6,CRISPResso,-28.7974917351105
run5_Injected_NC7_cyranoC2_sg76+77_1,7,CRISPResso,-34.4941060050544
run6_insert_ctgfa_my96ds_3,8,CRISPResso,-63.0952380952381
run9_my96ss,9,CRISPResso,-65.4737888064938
run10_7879_2,10,CRISPResso,-72.2598385618403
run6_elovl6_e1_1_2_7071_inj,11,CRISPResso,-99.7527413459471
run1_Injected_fgf13b,12,CRISPResso,-99.7390656063618
run5_Injected_NC24_mboatSall3,13,CRISPResso,-52.12694038497
run9_GFPnoSTOP,14,CRISPResso,-78.7190045375012
run9_invit96ss,15,CRISPResso,-64.4248366799408
run9_213ss,16,CRISPResso,-84.4912348888786
run9_213ds,17,CRISPResso,-97.2103332483681
run9_GFPnoSTOP_gRNA_,18,CRISPResso,-85.8068880011436
run7_SP1_inj,19,CRISPResso,-99.3939393939394
run7_elovl6_e1_1_2_inj,20,CRISPResso,-100
run1_Injected_SP8_updated2,1,CrispRVariants,-15.1446153846154
run1_Injected_cartb,2,CrispRVariants,-0.977400881057278
run1_Injected_eomesb,3,CrispRVariants,-11.6465753424658
run5_Injected_NCorf4_Cingulinintronic,4,CrispRVariants,-15.26395825128
run7_atp1a1_1_e4_1_inj,5,CrispRVariants,-0.971803278688526
run8_atp1a1_1_e4_1_inj,6,CrispRVariants,1.05571286636859
run5_Injected_NC7_cyranoC2_sg76+77_1,7,CrispRVariants,1.91861681005956
run6_insert_ctgfa_my96ds_3,8,CrispRVariants,-16.6666666666667
run9_my96ss,9,CrispRVariants,-32.817626278277
run10_7879_2,10,CrispRVariants,-5.32064516129032
run6_elovl6_e1_1_2_7071_inj,11,CrispRVariants,0
run1_Injected_fgf13b,12,CrispRVariants,-100
run5_Injected_NC24_mboatSall3,13,CrispRVariants,-45.1404818383988
run9_GFPnoSTOP,14,CrispRVariants,-39.1069162210339
run9_invit96ss,15,CrispRVariants,-58.4494878427315
run9_213ss,16,CrispRVariants,-38.2706344317832
run9_213ds,17,CrispRVariants,-26.809494087529
run9_GFPnoSTOP_gRNA_,18,CrispRVariants,-79.3062264796442
run7_SP1_inj,19,CrispRVariants,-100
run7_elovl6_e1_1_2_inj,20,CrispRVariants,0
