Guide,Truth,Indels,variable,value
cnsta,0,No indels > 10bp,CrispRVariants,0
cnsta,0,Mixed Indels,CrispRVariants,0
cnsta,0,Insertions > 10bp,CrispRVariants,0
cnsta,0,Deletions > 10bp,CrispRVariants,0
cnsta,33.3%,No indels > 10bp,CrispRVariants,32.82
cnsta,33.3%,Mixed Indels,CrispRVariants,32.89
cnsta,33.3%,Insertions > 10bp,CrispRVariants,0
cnsta,33.3%,Deletions > 10bp,CrispRVariants,33.22
cnsta,66.7%,No indels > 10bp,CrispRVariants,66.01
cnsta,66.7%,Mixed Indels,CrispRVariants,66.16
cnsta,66.7%,Insertions > 10bp,CrispRVariants,0
cnsta,66.7%,Deletions > 10bp,CrispRVariants,66.56
cnsta,90%,No indels > 10bp,CrispRVariants,89.82
cnsta,90%,Mixed Indels,CrispRVariants,88.26
cnsta,90%,Insertions > 10bp,CrispRVariants,0
cnsta,90%,Deletions > 10bp,CrispRVariants,89.97
cntn1a,0,No indels > 10bp,CrispRVariants,0
cntn1a,0,Mixed Indels,CrispRVariants,0
cntn1a,0,Insertions > 10bp,CrispRVariants,0
cntn1a,0,Deletions > 10bp,CrispRVariants,0
cntn1a,33.3%,No indels > 10bp,CrispRVariants,32.5
cntn1a,33.3%,Mixed Indels,CrispRVariants,32.9
cntn1a,33.3%,Insertions > 10bp,CrispRVariants,0
cntn1a,33.3%,Deletions > 10bp,CrispRVariants,33.31
cntn1a,66.7%,No indels > 10bp,CrispRVariants,65.1
cntn1a,66.7%,Mixed Indels,CrispRVariants,65.47
cntn1a,66.7%,Insertions > 10bp,CrispRVariants,0
cntn1a,66.7%,Deletions > 10bp,CrispRVariants,66.53
cntn1a,90%,No indels > 10bp,CrispRVariants,89.78
cntn1a,90%,Mixed Indels,CrispRVariants,89.59
cntn1a,90%,Insertions > 10bp,CrispRVariants,0
cntn1a,90%,Deletions > 10bp,CrispRVariants,87.36
cntn1b,0,No indels > 10bp,CrispRVariants,0
cntn1b,0,Mixed Indels,CrispRVariants,0
cntn1b,0,Insertions > 10bp,CrispRVariants,0
cntn1b,0,Deletions > 10bp,CrispRVariants,0
cntn1b,33.3%,No indels > 10bp,CrispRVariants,32.83
cntn1b,33.3%,Mixed Indels,CrispRVariants,32.86
cntn1b,33.3%,Insertions > 10bp,CrispRVariants,0
cntn1b,33.3%,Deletions > 10bp,CrispRVariants,33.3
cntn1b,66.7%,No indels > 10bp,CrispRVariants,65.97
cntn1b,66.7%,Mixed Indels,CrispRVariants,65.76
cntn1b,66.7%,Insertions > 10bp,CrispRVariants,0
cntn1b,66.7%,Deletions > 10bp,CrispRVariants,66.53
cntn1b,90%,No indels > 10bp,CrispRVariants,89.79
cntn1b,90%,Mixed Indels,CrispRVariants,89.81
cntn1b,90%,Insertions > 10bp,CrispRVariants,0
cntn1b,90%,Deletions > 10bp,CrispRVariants,89.99
cntn3b,0,No indels > 10bp,CrispRVariants,0
cntn3b,0,Mixed Indels,CrispRVariants,0
cntn3b,0,Insertions > 10bp,CrispRVariants,0
cntn3b,0,Deletions > 10bp,CrispRVariants,0
cntn3b,33.3%,No indels > 10bp,CrispRVariants,32.52
cntn3b,33.3%,Mixed Indels,CrispRVariants,32.65
cntn3b,33.3%,Insertions > 10bp,CrispRVariants,0
cntn3b,33.3%,Deletions > 10bp,CrispRVariants,33.2
cntn3b,66.7%,No indels > 10bp,CrispRVariants,66.04
cntn3b,66.7%,Mixed Indels,CrispRVariants,66.15
cntn3b,66.7%,Insertions > 10bp,CrispRVariants,0
cntn3b,66.7%,Deletions > 10bp,CrispRVariants,62.88
cntn3b,90%,No indels > 10bp,CrispRVariants,89.8
cntn3b,90%,Mixed Indels,CrispRVariants,89.81
cntn3b,90%,Insertions > 10bp,CrispRVariants,0
cntn3b,90%,Deletions > 10bp,CrispRVariants,89.95
cntnap2b,0,No indels > 10bp,CrispRVariants,0
cntnap2b,0,Mixed Indels,CrispRVariants,0
cntnap2b,0,Insertions > 10bp,CrispRVariants,0
cntnap2b,0,Deletions > 10bp,CrispRVariants,0
cntnap2b,33.3%,No indels > 10bp,CrispRVariants,32.86
cntnap2b,33.3%,Mixed Indels,CrispRVariants,32.23
cntnap2b,33.3%,Insertions > 10bp,CrispRVariants,0
cntnap2b,33.3%,Deletions > 10bp,CrispRVariants,31.03
cntnap2b,66.7%,No indels > 10bp,CrispRVariants,65.82
cntnap2b,66.7%,Mixed Indels,CrispRVariants,66.16
cntnap2b,66.7%,Insertions > 10bp,CrispRVariants,0
cntnap2b,66.7%,Deletions > 10bp,CrispRVariants,66.53
cntnap2b,90%,No indels > 10bp,CrispRVariants,89.72
cntnap2b,90%,Mixed Indels,CrispRVariants,89.66
cntnap2b,90%,Insertions > 10bp,CrispRVariants,0
cntnap2b,90%,Deletions > 10bp,CrispRVariants,88.45
cntnap4,0,No indels > 10bp,CrispRVariants,0
cntnap4,0,Mixed Indels,CrispRVariants,0
cntnap4,0,Insertions > 10bp,CrispRVariants,0
cntnap4,0,Deletions > 10bp,CrispRVariants,0
cntnap4,33.3%,No indels > 10bp,CrispRVariants,32.82
cntnap4,33.3%,Mixed Indels,CrispRVariants,32.82
cntnap4,33.3%,Insertions > 10bp,CrispRVariants,0
cntnap4,33.3%,Deletions > 10bp,CrispRVariants,28.51
cntnap4,66.7%,No indels > 10bp,CrispRVariants,66.04
cntnap4,66.7%,Mixed Indels,CrispRVariants,66.15
cntnap4,66.7%,Insertions > 10bp,CrispRVariants,0
cntnap4,66.7%,Deletions > 10bp,CrispRVariants,66.51
cntnap4,90%,No indels > 10bp,CrispRVariants,89.78
cntnap4,90%,Mixed Indels,CrispRVariants,89.79
cntnap4,90%,Insertions > 10bp,CrispRVariants,0
